TERM_NAME,DEFINITION,Text
pc,Per Call.   How many previous calls with the same issue.,###Human:\nWhat is pc in Dell context?\n\n###Asistant:\nPer Call.   How many previous calls with the same issue.
1:1,"One on one. A meeting between two individuals, such as a regular meeting between an employee and his/her manager. ","###Human:\nWhat is 1:1 in Dell context?\n\n###Asistant:\nOne on one. A meeting between two individuals, such as a regular meeting between an employee and his/her manager. "
100BASE-FX,Uses two strands of fiber-optic cable (62.5/125 micron). One strand is used to transmit and the other to receive.,###Human:\nWhat is 100BASE-FX in Dell context?\n\n###Asistant:\nUses two strands of fiber-optic cable (62.5/125 micron). One strand is used to transmit and the other to receive.
100BASE-T,"A standard that is being proposed to IEEE and was developed by the Fast Ethernet Forum. This standard includes the MAC layer, the MII, and the three physical layers (100Base-TX, 100Base-T4, and 100Base-FX).","###Human:\nWhat is 100BASE-T in Dell context?\n\n###Asistant:\nA standard that is being proposed to IEEE and was developed by the Fast Ethernet Forum. This standard includes the MAC layer, the MII, and the three physical layers (100Base-TX, 100Base-T4, and 100Base-FX)."
100Base-T4,"Uses four pairs of Category 3, 4, or 5 UTP wire. Three pairs are used to transmit and receive and the fourth is used to listen for collisions on the wire.","###Human:\nWhat is 100Base-T4 in Dell context?\n\n###Asistant:\nUses four pairs of Category 3, 4, or 5 UTP wire. Three pairs are used to transmit and receive and the fourth is used to listen for collisions on the wire."
100BASE-TX,"Uses two pairs of Category 5 UTP wire, or two pairs of Type 1 STP. One pair is used TO transmit and the other to receive. This wiring scheme is the same as Ethernet today (10Base-T).","###Human:\nWhat is 100BASE-TX in Dell context?\n\n###Asistant:\nUses two pairs of Category 5 UTP wire, or two pairs of Type 1 STP. One pair is used TO transmit and the other to receive. This wiring scheme is the same as Ethernet today (10Base-T)."
100VG-AnyLAN,An alternative proposal to Fast Ethernet. It has been proposed to IEEE with Hewlett-Packard being the prime sponsor. The transmission scheme is very similar to 100Base-T4. It uses four pair of voice grade unshielded twisted pair wire.,###Human:\nWhat is 100VG-AnyLAN in Dell context?\n\n###Asistant:\nAn alternative proposal to Fast Ethernet. It has been proposed to IEEE with Hewlett-Packard being the prime sponsor. The transmission scheme is very similar to 100Base-T4. It uses four pair of voice grade unshielded twisted pair wire.
10BASE-2,IEEE's specification for running CSMA/CD networking (Ethernet) over thin coaxial cable (RG58).,###Human:\nWhat is 10BASE-2 in Dell context?\n\n###Asistant:\nIEEE's specification for running CSMA/CD networking (Ethernet) over thin coaxial cable (RG58).
10BASE-5,IEEE's specification for running CSMA/CD networking (Ethernet) over thick coaxial cable (RG8).,###Human:\nWhat is 10BASE-5 in Dell context?\n\n###Asistant:\nIEEE's specification for running CSMA/CD networking (Ethernet) over thick coaxial cable (RG8).
10BASE-F,IEEE's specification for running CSMA/CD networking (Ethernet) over fiber-optic cable.,###Human:\nWhat is 10BASE-F in Dell context?\n\n###Asistant:\nIEEE's specification for running CSMA/CD networking (Ethernet) over fiber-optic cable.
10BASE-T,IEEE's specification for running CSMA/CD networking (Ethernet) over unshielded twisted pair cable.,###Human:\nWhat is 10BASE-T in Dell context?\n\n###Asistant:\nIEEE's specification for running CSMA/CD networking (Ethernet) over unshielded twisted pair cable.
10g,Oracle database version - 9i was a prior version.,###Human:\nWhat is 10g in Dell context?\n\n###Asistant:\nOracle database version - 9i was a prior version.
11500 specification,Inbound packaging specification used to provide guidelines to our suppliers on the format of the accceptable packs into Dell.,###Human:\nWhat is 11500 specification in Dell context?\n\n###Asistant:\nInbound packaging specification used to provide guidelines to our suppliers on the format of the accceptable packs into Dell.
12G,PowerEdge Products launched in 2012. E.g M620,###Human:\nWhat is 12G in Dell context?\n\n###Asistant:\nPowerEdge Products launched in 2012. E.g M620
170 AR,170 Systems software used with Omega AR system in Europe for scanning receipt images and workflow.,###Human:\nWhat is 170 AR in Dell context?\n\n###Asistant:\n170 Systems software used with Omega AR system in Europe for scanning receipt images and workflow.
1DD,"One Dell Distribuion - Dell's only multi-tier distribution and retail sales model, targeting consumer and small business.","###Human:\nWhat is 1DD in Dell context?\n\n###Asistant:\nOne Dell Distribuion - Dell's only multi-tier distribution and retail sales model, targeting consumer and small business."
1x1,"One on one. A meeting between two individuals, such as a regular meeting between an employee and his/her manager. ","###Human:\nWhat is 1x1 in Dell context?\n\n###Asistant:\nOne on one. A meeting between two individuals, such as a regular meeting between an employee and his/her manager. "
1xRTT,1 x Radio Transmission Technology.  A cdmaOne (Qualcomm) based technology that can support packet rates up to 144 KBPS.,###Human:\nWhat is 1xRTT in Dell context?\n\n###Asistant:\n1 x Radio Transmission Technology.  A cdmaOne (Qualcomm) based technology that can support packet rates up to 144 KBPS.
24-Hour Rule,"Platforms in a test phase may fail. If the failing issue is rated a Severity 1, then the unit and its configuration must remain intact for at least 24 hours, pending Engineering disposition.","###Human:\nWhat is 24-Hour Rule in Dell context?\n\n###Asistant:\nPlatforms in a test phase may fail. If the failing issue is rated a Severity 1, then the unit and its configuration must remain intact for at least 24 hours, pending Engineering disposition."
2D,Two dimensional,###Human:\nWhat is 2D in Dell context?\n\n###Asistant:\nTwo dimensional
3D,Three dimensional,###Human:\nWhat is 3D in Dell context?\n\n###Asistant:\nThree dimensional
3D Acceleration,Hardware accelerator geared toward 3D modeling and light source rendering.,###Human:\nWhat is 3D Acceleration in Dell context?\n\n###Asistant:\nHardware accelerator geared toward 3D modeling and light source rendering.
3D Audio,Surround sound,###Human:\nWhat is 3D Audio in Dell context?\n\n###Asistant:\nSurround sound
3DOF,3 Day ownership failure - means that the customer hasn't been contacted for 3 days and the case is in status OWNED.,###Human:\nWhat is 3DOF in Dell context?\n\n###Asistant:\n3 Day ownership failure - means that the customer hasn't been contacted for 3 days and the case is in status OWNED.
3F,"Form, Fit & Function- FORM a team, FIT in the role and start FUNCTIONING
","###Human:\nWhat is 3F in Dell context?\n\n###Asistant:\nForm, Fit & Function- FORM a team, FIT in the role and start FUNCTIONING
"
3G,Third Generation (of wireless phone services).  See UMTS.,###Human:\nWhat is 3G in Dell context?\n\n###Asistant:\nThird Generation (of wireless phone services).  See UMTS.
3PD,Third Party Distributor,###Human:\nWhat is 3PD in Dell context?\n\n###Asistant:\nThird Party Distributor
3PKB,3rd Party Knowledge Base,###Human:\nWhat is 3PKB in Dell context?\n\n###Asistant:\n3rd Party Knowledge Base
3PL,Third Party Logistics,###Human:\nWhat is 3PL in Dell context?\n\n###Asistant:\nThird Party Logistics
3PP,3rd Party Products,###Human:\nWhat is 3PP in Dell context?\n\n###Asistant:\n3rd Party Products
3xRTT,CDMA 3 x Radio Transmission Technology. A cdmaOne (Qualcomm) based technology that can support packet rates up to 384 KBPS.,###Human:\nWhat is 3xRTT in Dell context?\n\n###Asistant:\nCDMA 3 x Radio Transmission Technology. A cdmaOne (Qualcomm) based technology that can support packet rates up to 384 KBPS.
401k,Employee Benefits retirement contribution program for US Employees.,###Human:\nWhat is 401k in Dell context?\n\n###Asistant:\nEmployee Benefits retirement contribution program for US Employees.
4D Graphics,Hardware accelerator for a bit block used in overlay mode.,###Human:\nWhat is 4D Graphics in Dell context?\n\n###Asistant:\nHardware accelerator for a bit block used in overlay mode.
4D Sprite Acceleration,Hardware accelerator for a bit block used in overlay mode.,###Human:\nWhat is 4D Sprite Acceleration in Dell context?\n\n###Asistant:\nHardware accelerator for a bit block used in overlay mode.
4hr/7X24 Same Day On-Site Response Service SKU,"Initial year and 2-year extension provide 3 yearsof coverage, determines which DSP is primary (Unisys, NCR, Decision One, Getronics(Wang), IGS).  Uses the same 4hr/7X24 SKUs existing before PESS was launched, and tied to specific service tag.","###Human:\nWhat is 4hr/7X24 Same Day On-Site Response Service SKU in Dell context?\n\n###Asistant:\nInitial year and 2-year extension provide 3 yearsof coverage, determines which DSP is primary (Unisys, NCR, Decision One, Getronics(Wang), IGS).  Uses the same 4hr/7X24 SKUs existing before PESS was launched, and tied to specific service tag."
5C,"A series of steps to take when a technical issue arises. Also known as CLCA. Characterize, Contain, Causes, Corrective action, Closure.
","###Human:\nWhat is 5C in Dell context?\n\n###Asistant:\nA series of steps to take when a technical issue arises. Also known as CLCA. Characterize, Contain, Causes, Corrective action, Closure.
"
5S,"5S. Five Japanese words which basically mean that ""everything has a place and everything is in that particular place"" * Seri (Say ree) - Sort and Discard. * Seiton (Say ton) - Arrange and Order. * Seiso (Say zo) - Clean and Inspect. * Seiketsu (Say ket soo) - Standardize and Improve.  * Shitsuke (Shee tsoo kay) - Believe and Disclipline. ","###Human:\nWhat is 5S in Dell context?\n\n###Asistant:\n5S. Five Japanese words which basically mean that ""everything has a place and everything is in that particular place"" * Seri (Say ree) - Sort and Discard. * Seiton (Say ton) - Arrange and Order. * Seiso (Say zo) - Clean and Inspect. * Seiketsu (Say ket soo) - Standardize and Improve.  * Shitsuke (Shee tsoo kay) - Believe and Disclipline. "
60 SAC,"60 Day Same as Cash.  A product for small business customers.  The product converts to a fixed term loan after the 60 day SAC period.
","###Human:\nWhat is 60 SAC in Dell context?\n\n###Asistant:\n60 Day Same as Cash.  A product for small business customers.  The product converts to a fixed term loan after the 60 day SAC period.
"
64PCH,64 bit PCI Controller Hub.,###Human:\nWhat is 64PCH in Dell context?\n\n###Asistant:\n64 bit PCI Controller Hub.
802.11,"A family of IEEE standards for wireless LANs first introduced in 1997. 802.11 provides 1 or 2 Mbps transmission in the 2.4GHz band using either FHSS or DSSS.  802.11b defines an 11 Mbps data rate in the 2.4GHz band, and 802.11a defines 24 Mbps in the 5GHz band. 
","###Human:\nWhat is 802.11 in Dell context?\n\n###Asistant:\nA family of IEEE standards for wireless LANs first introduced in 1997. 802.11 provides 1 or 2 Mbps transmission in the 2.4GHz band using either FHSS or DSSS.  802.11b defines an 11 Mbps data rate in the 2.4GHz band, and 802.11a defines 24 Mbps in the 5GHz band. 
"
802.15,An IEEE working group that is expected to introduce a wireless personal area network (WPAN) in 2000. A second task group is working on coexistence of 802.11 and 802.15 PANs.,###Human:\nWhat is 802.15 in Dell context?\n\n###Asistant:\nAn IEEE working group that is expected to introduce a wireless personal area network (WPAN) in 2000. A second task group is working on coexistence of 802.11 and 802.15 PANs.
